id;input_adr;low_adr;upp_adr;cap_adr
130;33 rue de la république;33 rue de la république;33 RUE DE LA RÉPUBLIQUE;33 Rue de la République
131;7bis rue jean macé;7 bis rue jean macé;7 BIS RUE JEAN MACÉ;7 Bis Rue Jean Macé
132;70 rue carnot;70 rue carnot;70 RUE CARNOT;70 Rue Carnot
133;3 promenade de l'abbaye;3 promenade de l'abbaye;3 PROMENADE DE L'ABBAYE;3 Promenade de l'Abbaye
134;5 allée santos dumont;5 allée santos dumont;5 ALLÉE SANTOS DUMONT;5 Allée Santos Dumont
135;4 rue de verdun;4 rue de verdun;4 RUE DE VERDUN;4 Rue de Verdun
136;101 boulevard de lattre de tassigny;101 boulevard maréchal de lattre de tassigny;101 BOULEVARD MARÉCHAL DE LATTRE DE TASSIGNY;101 Boulevard Maréchal de Lattre de Tassigny
137;11 rue gambetta;11 rue gambetta;11 RUE GAMBETTA;11 Rue Gambetta
138;8 passage du panorama;8 pas du panorama;8 PAS DU PANORAMA;8 Pas du Panorama
139;13 rue de la procession;13 rue de la procession;13 RUE DE LA PROCESSION;13 Rue de la Procession
140;60 rue des bons raisins;60 rue des bons raisins;60 RUE DES BONS RAISINS;60 Rue des Bons Raisins
141;192 boulevard washington;192 boulevard washington;192 BOULEVARD WASHINGTON;192 Boulevard Washington
