"type_voie","determinant","nom","borne_debut","borne_fin","parite","quartier","code_postal","commune","date_mise_a_jour"
"PLACE","DE LA","REPUBLIQUE",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"RUE","DE LA","REPUBLIQUE",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
NULL,NULL,"RESIDENCE ALBERT CARON",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
NULL,NULL,"RESIDENCE ALBERT CARON",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"ALLEE","DES","RIVES DE BAGATELLE",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE",NULL,"ROBERT JOYEUX",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"RUE",NULL,"ROGER SALENGRO",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"RUE","DES BAS","ROGERS",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"RUE","DES BAS","ROGERS",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"CHEMIN","DES","ROSES",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"ALLEE","DES","ROSES",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"CITE",NULL,"ROUGET DE LISLE",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"RUE",NULL,"ROUGET DE LISLE",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"RUE","DE","SAINT-CLOUD",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"PROMENADE",NULL,"SAINT-LEUFROY",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE",NULL,"SALOMON DE ROTHSCHILD",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
